#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
16465324,22,22.727,0.219,7,8,-78,5180,GoogleWiFi_AP03,1
16465699,22,21.995,0.365,7,8,-77,5180,GoogleWiFi_AP03,1
16466099,22,22.375,0.142,7,8,-75,5180,GoogleWiFi_AP03,1
16466500,22,22.229,0.052,7,8,-74,5180,GoogleWiFi_AP03,1
16466902,22,22.112,0.633,7,8,-75,5180,GoogleWiFi_AP03,1
16467309,22,22.639,0.513,7,8,-77,5180,GoogleWiFi_AP03,1
16467717,22,22.581,0.467,7,8,-77,5180,GoogleWiFi_AP03,1
16468124,22,22.405,0.123,7,8,-77,5180,GoogleWiFi_AP03,1
16468508,22,21.819,0.492,7,8,-79,5180,GoogleWiFi_AP03,1
16468887,22,21.702,0.685,7,8,-80,5180,GoogleWiFi_AP03,1
16469284,22,22.6,0.138,7,8,-69,5180,GoogleWiFi_AP03,1
16469692,22,22.678,0.093,7,8,-77,5180,GoogleWiFi_AP03,1
16470099,22,22.2,0.42,7,8,-79,5180,GoogleWiFi_AP03,1
16470486,22,22.434,0.483,7,8,-77,5180,GoogleWiFi_AP03,1
16470884,22,22.141,0.091,7,8,-76,5180,GoogleWiFi_AP03,1
16471289,22,21.848,0.439,7,8,-78,5180,GoogleWiFi_AP03,1
16471699,22,22.317,0.087,7,8,-77,5180,GoogleWiFi_AP03,1
16472099,22,22.786,0.097,7,8,-78,5180,GoogleWiFi_AP03,1
16472505,22,22.112,1.071,7,8,-80,5180,GoogleWiFi_AP03,1
16472919,22,22.932,1.067,7,8,-76,5180,GoogleWiFi_AP03,1
16473326,22,22.405,0.346,7,8,-79,5180,GoogleWiFi_AP03,1
16473738,22,22.434,0.372,7,8,-79,5180,GoogleWiFi_AP03,1
16474147,22,22.493,0.189,7,8,-79,5180,GoogleWiFi_AP03,1
16474557,22,22.463,0.157,7,8,-77,5180,GoogleWiFi_AP03,1
16474979,22,22.61,0.128,7,8,-77,5180,GoogleWiFi_AP03,1
16475383,22,22.346,0.148,7,8,-80,5180,GoogleWiFi_AP03,1
16475792,22,22.405,0.281,7,8,-81,5180,GoogleWiFi_AP03,1
16476199,22,22.463,0.154,7,8,-80,5180,GoogleWiFi_AP03,1
16476606,22,22.463,0.209,7,8,-79,5180,GoogleWiFi_AP03,1
16477012,22,22.346,0.253,7,8,-80,5180,GoogleWiFi_AP03,1
16477423,22,22.317,0.233,7,8,-80,5180,GoogleWiFi_AP03,1
16477830,22,22.463,0.189,7,8,-79,5180,GoogleWiFi_AP03,1
16478244,22,22.288,0.288,7,8,-79,5180,GoogleWiFi_AP03,1
16478651,22,22.346,0.166,7,8,-79,5180,GoogleWiFi_AP03,1
16479063,22,22.141,0.324,7,8,-80,5180,GoogleWiFi_AP03,1
16479472,22,21.907,0.107,7,8,-80,5180,GoogleWiFi_AP03,1
16479883,22,22.493,0.37,7,8,-77,5180,GoogleWiFi_AP03,1
16480291,22,22.229,0.425,7,8,-78,5180,GoogleWiFi_AP03,1
16480701,22,22.229,0.519,7,8,-79,5180,GoogleWiFi_AP03,1
16481111,22,22.834,0.575,7,8,-77,5180,GoogleWiFi_AP03,1
16481520,22,21.672,0.425,7,8,-78,5180,GoogleWiFi_AP03,1
16481932,22,22.639,0.142,7,8,-70,5180,GoogleWiFi_AP03,1
16482339,22,22.317,0.233,7,8,-78,5180,GoogleWiFi_AP03,1
16482747,22,22.551,0.118,7,8,-77,5180,GoogleWiFi_AP03,1
16483160,22,21.848,0.57,7,8,-80,5180,GoogleWiFi_AP03,1
16483568,22,22.522,0.126,7,8,-77,5180,GoogleWiFi_AP03,1
16483979,22,22.405,0.322,7,8,-79,5180,GoogleWiFi_AP03,1
16484384,22,22.434,0.253,7,8,-79,5180,GoogleWiFi_AP03,1
16484781,22,22.493,0.221,7,8,-79,5180,GoogleWiFi_AP03,1
16485185,22,22.61,0.225,7,8,-78,5180,GoogleWiFi_AP03,1
16485585,22,22.346,0.214,7,8,-79,5180,GoogleWiFi_AP03,1
16485988,22,22.463,0.304,7,8,-79,5180,GoogleWiFi_AP03,1
16486396,22,22.346,0.309,7,8,-79,5180,GoogleWiFi_AP03,1
16486799,22,22.375,0.227,7,8,-80,5180,GoogleWiFi_AP03,1
16487197,22,22.375,0.209,7,8,-80,5180,GoogleWiFi_AP03,1
16487602,22,22.375,0.5,7,8,-73,5180,GoogleWiFi_AP03,1
16488009,22,22.405,0.197,7,8,-79,5180,GoogleWiFi_AP03,1
16488413,22,22.834,1.427,7,8,-72,5180,GoogleWiFi_AP03,1
16488818,22,22.756,0.401,7,8,-78,5180,GoogleWiFi_AP03,1
16489223,22,22.434,0.201,7,8,-79,5180,GoogleWiFi_AP03,1
16489631,22,22.434,0.26,7,8,-79,5180,GoogleWiFi_AP03,1
16490035,22,22.434,0.233,7,8,-79,5180,GoogleWiFi_AP03,1
16490443,22,22.346,0.274,7,8,-79,5180,GoogleWiFi_AP03,1
16490839,22,22.317,0.251,7,8,-80,5180,GoogleWiFi_AP03,1
16491244,22,22.434,0.258,7,8,-79,5180,GoogleWiFi_AP03,1
16491644,22,22.434,0.254,7,8,-79,5180,GoogleWiFi_AP03,1
16492048,22,22.405,0.202,7,8,-79,5180,GoogleWiFi_AP03,1
16492454,22,22.346,0.245,7,8,-79,5180,GoogleWiFi_AP03,1
16492859,22,22.405,0.208,7,8,-78,5180,GoogleWiFi_AP03,1
16493270,22,22.346,0.249,7,8,-78,5180,GoogleWiFi_AP03,1
16493678,22,22.639,0.184,7,8,-77,5180,GoogleWiFi_AP03,1
16494056,22,22.581,0.124,7,8,-77,5180,GoogleWiFi_AP03,1
16494466,22,22.581,0.301,7,8,-78,5180,GoogleWiFi_AP03,1
16494882,22,22.17,0.272,7,8,-78,5180,GoogleWiFi_AP03,1
16495285,22,21.936,0.226,7,8,-80,5180,GoogleWiFi_AP03,1
16495694,22,22.053,0.336,7,8,-80,5180,GoogleWiFi_AP03,1
16496076,22,22.522,0.192,7,8,-79,5180,GoogleWiFi_AP03,1
16496584,22,22.053,0.206,7,8,-81,5180,GoogleWiFi_AP03,1
16496968,22,22.327,0.12,7,8,-81,5180,GoogleWiFi_AP03,1
16497423,22,22.756,0.453,7,8,-78,5180,GoogleWiFi_AP03,1
16497813,22,22.463,0.178,7,8,-79,5180,GoogleWiFi_AP03,1
16498191,22,22.082,0.59,7,8,-77,5180,GoogleWiFi_AP03,1
16498593,22,22.463,0.234,7,8,-79,5180,GoogleWiFi_AP03,1
16498999,22,22.463,0.22,7,8,-79,5180,GoogleWiFi_AP03,1
16499403,22,22.551,0.204,7,8,-78,5180,GoogleWiFi_AP03,1
16499810,22,22.463,0.253,7,8,-78,5180,GoogleWiFi_AP03,1
16500216,22,22.405,0.345,7,8,-76,5180,GoogleWiFi_AP03,1
16500622,22,22.405,0.156,7,8,-80,5180,GoogleWiFi_AP03,1
16501030,22,22.375,0.248,7,8,-79,5180,GoogleWiFi_AP03,1
16501439,22,22.434,0.201,7,8,-79,5180,GoogleWiFi_AP03,1
16501847,22,22.581,0.173,7,8,-78,5180,GoogleWiFi_AP03,1
16502248,22,22.375,0.287,7,8,-78,5180,GoogleWiFi_AP03,1
16502655,22,22.317,0.223,7,8,-77,5180,GoogleWiFi_AP03,1
16503062,22,22.434,0.201,7,8,-80,5180,GoogleWiFi_AP03,1
16503470,22,22.434,0.203,7,8,-79,5180,GoogleWiFi_AP03,1
16503876,22,22.463,0.267,7,8,-79,5180,GoogleWiFi_AP03,1
16504283,22,22.405,0.209,7,8,-80,5180,GoogleWiFi_AP03,1
16504690,22,22.375,0.247,7,8,-78,5180,GoogleWiFi_AP03,1
16505078,22,22.317,0.265,7,8,-80,5180,GoogleWiFi_AP03,1
16505481,22,22.405,0.226,7,8,-80,5180,GoogleWiFi_AP03,1
16505876,22,22.288,0.213,7,8,-80,5180,GoogleWiFi_AP03,1
16506280,22,22.346,0.287,7,8,-79,5180,GoogleWiFi_AP03,1
16506690,22,22.405,0.181,7,8,-79,5180,GoogleWiFi_AP03,1
16507097,22,22.522,0.224,7,8,-79,5180,GoogleWiFi_AP03,1
16507502,22,22.434,0.198,7,8,-79,5180,GoogleWiFi_AP03,1
16507900,22,22.317,0.259,7,8,-79,5180,GoogleWiFi_AP03,1
16508303,22,22.463,0.189,7,8,-80,5180,GoogleWiFi_AP03,1
16508703,22,22.434,0.283,7,8,-80,5180,GoogleWiFi_AP03,1
16509108,22,22.493,0.178,7,8,-79,5180,GoogleWiFi_AP03,1
16509517,22,22.405,0.235,7,8,-78,5180,GoogleWiFi_AP03,1
16509925,22,22.375,0.258,7,8,-78,5180,GoogleWiFi_AP03,1
16510332,22,22.434,0.216,7,8,-79,5180,GoogleWiFi_AP03,1
16510740,22,22.405,0.243,7,8,-79,5180,GoogleWiFi_AP03,1
16511143,22,22.405,0.267,7,8,-79,5180,GoogleWiFi_AP03,1
16511545,22,22.258,0.291,7,8,-79,5180,GoogleWiFi_AP03,1
16511948,22,22.375,0.216,7,8,-80,5180,GoogleWiFi_AP03,1
16512354,22,22.434,0.208,7,8,-79,5180,GoogleWiFi_AP03,1
16512757,22,22.434,0.243,7,8,-79,5180,GoogleWiFi_AP03,1
16513163,22,22.405,0.155,7,8,-79,5180,GoogleWiFi_AP03,1
16513573,22,22.317,0.286,7,8,-79,5180,GoogleWiFi_AP03,1
16513983,22,22.375,0.243,7,8,-79,5180,GoogleWiFi_AP03,1
16514394,22,22.375,0.209,7,8,-79,5180,GoogleWiFi_AP03,1
16514803,22,22.551,0.196,7,8,-78,5180,GoogleWiFi_AP03,1
16515210,22,22.375,0.251,7,8,-80,5180,GoogleWiFi_AP03,1
16515609,22,22.493,0.192,7,8,-78,5180,GoogleWiFi_AP03,1
16516015,22,22.405,0.267,7,8,-78,5180,GoogleWiFi_AP03,1
16516423,22,22.493,0.225,7,8,-78,5180,GoogleWiFi_AP03,1
16516828,22,22.463,0.197,7,8,-79,5180,GoogleWiFi_AP03,1
16517234,22,22.522,0.159,7,8,-80,5180,GoogleWiFi_AP03,1
16517643,22,22.463,0.264,7,8,-78,5180,GoogleWiFi_AP03,1
16518052,22,22.639,0.159,7,8,-78,5180,GoogleWiFi_AP03,1
16518459,22,22.405,0.237,7,8,-78,5180,GoogleWiFi_AP03,1
16518863,22,22.288,0.306,7,8,-78,5180,GoogleWiFi_AP03,1
16519266,22,22.493,0.107,7,8,-77,5180,GoogleWiFi_AP03,1
16519672,22,22.639,0.12,7,8,-77,5180,GoogleWiFi_AP03,1
16520078,22,22.522,0.194,7,8,-77,5180,GoogleWiFi_AP03,1
16520479,22,22.405,0.267,7,8,-77,5180,GoogleWiFi_AP03,1
16520881,22,22.522,0.215,7,8,-78,5180,GoogleWiFi_AP03,1
16521286,22,22.551,0.158,7,8,-78,5180,GoogleWiFi_AP03,1
16521694,22,22.375,0.102,7,8,-78,5180,GoogleWiFi_AP03,1
16522101,22,22.463,0.127,7,8,-77,5180,GoogleWiFi_AP03,1
16522494,22,22.493,0.27,7,8,-77,5180,GoogleWiFi_AP03,1
16522901,22,22.434,0.192,7,8,-77,5180,GoogleWiFi_AP03,1
16523301,22,22.229,0.306,7,8,-78,5180,GoogleWiFi_AP03,1
16523711,22,22.551,0.171,7,8,-77,5180,GoogleWiFi_AP03,1
16524115,22,22.141,0.831,7,8,-78,5180,GoogleWiFi_AP03,1
16524516,22,22.317,0.193,7,8,-78,5180,GoogleWiFi_AP03,1
16524925,22,22.6,1.122,7,8,-80,5180,GoogleWiFi_AP03,1
16525331,22,22.522,0.171,7,8,-74,5180,GoogleWiFi_AP03,1
16525737,22,22.131,0.248,7,8,-78,5180,GoogleWiFi_AP03,1
16526142,22,22.288,0.285,7,8,-76,5180,GoogleWiFi_AP03,1
16526546,22,22.698,0.189,7,8,-78,5180,GoogleWiFi_AP03,1
16526952,22,22.278,0.166,7,8,-76,5180,GoogleWiFi_AP03,1
16527359,22,22.2,1.048,7,8,-77,5180,GoogleWiFi_AP03,1
16527769,22,22.053,0.419,7,8,-78,5180,GoogleWiFi_AP03,1
16528176,22,22.288,0.314,7,8,-79,5180,GoogleWiFi_AP03,1
16528584,22,22.581,0.159,7,8,-77,5180,GoogleWiFi_AP03,1
16528993,22,22.434,0.34,7,8,-79,5180,GoogleWiFi_AP03,1
16529400,22,22.903,0.149,7,8,-77,5180,GoogleWiFi_AP03,1
16529805,22,22.2,0.201,7,8,-79,5180,GoogleWiFi_AP03,1
16530212,22,22.141,0.402,7,8,-79,5180,GoogleWiFi_AP03,1
16530596,22,22.688,0.301,7,8,-77,5180,GoogleWiFi_AP03,1
16530998,22,22.288,0.25,7,8,-78,5180,GoogleWiFi_AP03,1
16531402,22,22.463,0.216,7,8,-78,5180,GoogleWiFi_AP03,1
16531809,22,22.463,0.234,7,8,-79,5180,GoogleWiFi_AP03,1
16532213,22,22.493,0.17,7,8,-79,5180,GoogleWiFi_AP03,1
16532622,22,22.317,0.3,7,8,-78,5180,GoogleWiFi_AP03,1
16533025,22,22.61,0.148,7,8,-79,5180,GoogleWiFi_AP03,1
16533427,22,22.434,0.203,7,8,-78,5180,GoogleWiFi_AP03,1
16533833,22,22.317,0.222,7,8,-78,5180,GoogleWiFi_AP03,1
16534242,22,22.405,0.215,7,8,-79,5180,GoogleWiFi_AP03,1
16534651,22,22.463,0.142,7,8,-78,5180,GoogleWiFi_AP03,1
16535062,22,22.375,0.223,7,8,-78,5180,GoogleWiFi_AP03,1
16535471,22,22.288,0.276,7,8,-78,5180,GoogleWiFi_AP03,1
16535877,22,22.405,0.195,7,8,-78,5180,GoogleWiFi_AP03,1
16536281,22,22.317,0.304,7,8,-79,5180,GoogleWiFi_AP03,1
16536673,22,22.873,0.894,7,8,-77,5180,GoogleWiFi_AP03,1
16537081,22,22.493,0.213,7,8,-79,5180,GoogleWiFi_AP03,1
16537483,22,22.434,0.225,7,8,-78,5180,GoogleWiFi_AP03,1
16537884,22,22.258,0.268,7,8,-79,5180,GoogleWiFi_AP03,1
16538291,22,22.317,0.291,7,8,-79,5180,GoogleWiFi_AP03,1
16538696,22,22.522,0.155,7,8,-80,5180,GoogleWiFi_AP03,1
16539118,22,22.493,0.22,7,8,-79,5180,GoogleWiFi_AP03,1
16539511,22,22.6,0.223,7,8,-79,5180,GoogleWiFi_AP03,1
16539915,22,22.747,0.36,7,8,-77,5180,GoogleWiFi_AP03,1
16540326,22,22.463,0.237,7,8,-79,5180,GoogleWiFi_AP03,1
16540734,22,22.405,0.259,7,8,-78,5180,GoogleWiFi_AP03,1
16541138,22,22.463,0.183,7,8,-80,5180,GoogleWiFi_AP03,1
16541547,22,22.493,0.176,7,8,-79,5180,GoogleWiFi_AP03,1
16541952,22,22.434,0.233,7,8,-80,5180,GoogleWiFi_AP03,1
16542345,22,22.375,0.227,7,8,-78,5180,GoogleWiFi_AP03,1
